32150 ,ISAAC21 ,372 ,1627 ,314 ,34
150 ,W   ,90 ,395 ,39 ,34
164 ,THEDJ    ,188 ,438 ,64 ,34
164 ,LOVERS    ,188 ,438 ,64 ,34
1546 ,MANGOMANG ,188 ,438 ,64 ,34
1647 ,ELLUCROS  ,188 ,438 ,64 ,34
1648 ,SKIBIDI69 ,188 ,438 ,64 ,34
1649 ,JULIAN    ,188 ,438 ,64 ,34
1650 ,VICTOR    ,188 ,438 ,64 ,34
1654 ,THEDJ    ,188 ,438 ,64 ,34
1654 ,LOVERS    ,188 ,438 ,64 ,34
1654 ,JULIO    ,188 ,438 ,64 ,34
1654 ,JULIO    ,188 ,438 ,64 ,34
2050 ,ISAAC    ,188 ,438 ,64 ,34
3154 ,ELBULGAR  ,188 ,438 ,64 ,34
15550 ,ISAAC213  ,190 ,421 ,34 ,34
16050 ,W   ,90 ,395 ,39 ,34
16546 ,MANGOMANG ,188 ,438 ,64 ,34
16547 ,ELLUCROS  ,188 ,438 ,64 ,34
16548 ,SKIBIDI69 ,188 ,438 ,64 ,34
16549 ,JULIAN    ,188 ,438 ,64 ,34
16550 ,VICTOR    ,188 ,438 ,64 ,34
20550 ,ISAAC    ,188 ,438 ,64 ,34
31654 ,ELBULGAR  ,188 ,438 ,64 ,34
